Meat,Receipt Name,Ingredients,URL
Chicken,Apple Stuffed Chicken Breast,"Chicken,Apple,Cheese,Bread,Butter,Corn Flour",http://allrecipes.com/Recipe/Apple-Stuffed-Chicken-Breast/Detail.aspx 
Chicken,Italian-style chicken burger &amp; chips,"Corn Flour,Olive Oil,Chicken,Bread,2 Chicken Breasts",http://www.bbcgoodfood.com/recipes/67608/italianstyle-chicken-burger-and-chips 
Chicken,Chicken Parmigiana,"Chicken,Flour,Spaghetti,Olive Oil,Butter,Garlic,Wine,Tomatoe Sauce,Sugar,Parsley,Cheese",http://food2fork.com/view/47194 
Chicken,Chicken and Dumplings,"Butter,Olive Oil,Flour,Chicken,Cream,Celery,Onion,Thyme,Turmeric,Cider,",http://food2fork.com/view/47070 
Chicken,Perfect roast chicken,"Chicken,Onion,Carrots,Celery,Garlic,Lemon,Pepper",http://food2fork.com/view/aad814 
Pork,Pork Chops With Pineapple Fried Rice,"Pineapple,Whole Pork Chops,Butter,Peanut Oil,Onion,Salt To Taste,Garlic,Eggs,Black Pepper,Garlic,Paprika,Onion,Chili",https://www.food2fork.com/view/Pork_Chops_with_Pineapple_Fried_Rice/46946
Pork,Slow Cooker Pulled Pork,"Pork,Root Beer,Barbecue Sauce",http://food2fork.com/view/29057
Pork,Pork Roast With Apples And Onions,"Pork, Olive Oil,Pork ,Pepper,Apple Juice,Onions; Raw,Water,Chicken ,Butter",http://food2fork.com/view/46980 
Pork,Scott Hibb'S Amazing Whisky Grilled Baby Back Ribs,"Pork,Black Pepper,Chili, Olive Oil,Onion,Tomato Paste,Honey,Salt,Black Pepper,Garlic,Paprika,Onion,Chili",http://food2fork.com/view/27945 
Pork,Pork Chops With Apples And Creamy Bacon Cheese Grits,"Pork,Olive Oil,Butter,Apples,Syrup,Black Pepper,Bacon,Onion,Water,Butter,Cheese,Black Pepper",https://www.food2fork.com/view/Pork_Chops_with_Apples_and_Creamy_Bacon_Cheese_Grits/47003 
Fish,Basic Fish Tacos Recipe,"Fish,Limes,Garlic,Tortillas,Chili,Pepper,Salt,Cabbage,Onion",http://food2fork.com/view/279062 
Fish,Chipotle Lime Fish Tacos,"Fish,Limes,Tortillas,Salt,Chili,Pepper",http://food2fork.com/view/35224 
Fish,Cod Sauted in Olive Oil with Fresh Tomatoes,"Fish,Tomato,Olive Oil,Salt,Pepper",http://food2fork.com/view/36074 
Fish,Tomato &amp; thyme cod,"Onion,Tomato,Sugar,Soy Sauce,Fish",http://food2fork.com/view/40cfd7 
Fish,Oaty fish & prawn gratins,"Spinach,Tomatoes,Fish,Broccoli,Shrimp,Bread Crumbs,Oats",http://food2fork.com/view/9491f8 
Shrimp,Shrimp Scampi,"Butter,Olive Oil,Onion,Garlic Cloves,Shrimp,Lemon,Hot Sauce,Pepper,Pasta,Basil,Parsley,Cheese",http://food2fork.com/view/47032 
Shrimp,Penne a la Betsy,"Pasta,Shrimp,Butter,Olive,Onion,White Wine,Tomato Sauce,Cream,Parsley,Basil,Salt,Pepper",http://food2fork.com/view/47361 
Shrimp,Shrimp Tacos,"Shrimp,Olive Oil ,Shrimp,Tomato Sauce,Cumin,Cabbage,Jalapeno,Milk,Mayonnnaise,Vinegar,Sugar,Salt,Cayenne Pepper,Cilantro",http://food2fork.com/view/46931 
Shrimp,Curried Rice With Shrimp,"Olive Oil,Onion,Carrots,Garlic,Curry Powder,Salt,Shrimp",http://food2fork.com/view/39717 
Shrimp,Garlic Shrimp and White Beans,"Olive Oil,Garlic,Cabbage,Leaf,Tomato,Tomato Paste,White Beans,Broth,Shrimp,Paprika,Parsley,Bread",http://food2fork.com/view/48982 
Beef,Swedish Meatballs,"Onion,Butter,Milk,Bread,Eggs,Beef,Salt,Butter,Flour,Beef ,Sour Cream",https://www.food2fork.com/view/Swedish_Meatballs/37047
Beef,Patty Melts,"Butter,Onion,Beef,Salt,Chees",http://food2fork.com/view/46908 
Beef,Bacon Double Cheeseburger Soup,"Beef,Bacon,Onion,Carrots,Celery,Garlic,Flour,Beef,Beer,Potato,Mustard,Tomato,Lettuce,Milk,Cheese,Mozzarella,Salt,Oil,Pickle",http://food2fork.com/view/35109 
Beef,Salisbury Steak,"Onion,Beef,Bread,Egg,Salt,Flour,Water,Mustard",http://food2fork.com/view/27381 
Beef,Pot Roast,"Beef,Olive Oil,Onions,Carrots,Salt",http://food2fork.com/view/46993 
Salad,Chicken With Roasted Sweet Potato Salad,"Potatoes,Onion,Olive Oil,Pepper,Chicken,Lime",http://www.realsimple.com/food-recipes/browse-all-recipes/chicken-roasted-sweet-potato-salad-00000000008027/index.html 
Salad,Chicken Caesar salad,"Bread Crumps,lettuce",http://www.bbcgoodfood.com/recipes/2516/chicken-caesar-salad 
Salad,Crispy Kale Salad with Lime Dressing,"Sugar,Lime,Fish,Garlic,Chili,Onion,Salt,Vegetables,Carrots,Peas,Cucumber",http://food2fork.com/view/48991 
Soup,"Simple, Hearty, Chicken and Rice Soup","Rice,Chicken,Chicken,Onion,Chili,Butter,Flour",http://thepioneerwoman.com/cooking/2008/04/simple-hearty-chicken-rice-soup-itll-keep-ya-honest/ 
Soup,Pumpkin Soup,"Pumpkin,Chicken,Cream,Syrup",http://food2fork.com/view/46979 
Vegetarian,Vegetarian Lentil Burgers,"Lentils,Eggs,Salt,Onion,Bread Crumbs",http://food2fork.com/view/48053 
Vegetarian,Vegetarian Tortilla Soup,"Oil,Pepper,Garlic,Cumin,Tomatoes,Broth,Pepper,Corn,Tortilla,Cheddar Cheese,Avocado",http://food2fork.com/view/33891 
Vegetarian,Vegetarian Korma,"Oil,Onion,Ginger,Garlic,Potatoes,Pepper,Cashews,Tomato,Salt,Curry Power,Green Peas,Pepper,Pepper,Cream,Cilantro",http://food2fork.com/view/33863 
Vegetarian,Home,"Eggplant,Zucchini,Oil,Salt,Pepper,Tomato,Basil",http://food2fork.com/view/d4ab03 
Vegetarian,Slow-Cooker Vegetarian Chili With Sweet Potatoes,"Onion,Pepper,Garlic,Chili Power,Cumin,Cinnamon,Salt,Tomato,Black Bean,Beans",http://food2fork.com/view/39943 